Record ID,Project Name,Slug,Article Title,CF Article URL,Article Category,Article Date,MVP Inclusion,Map Ready,Region,Country,State / Province,City / Area,Latitude,Longitude,Sector,Subsector,Capacity / Scale,Project Value,Currency,Project Stage,BD Timing,Procurement Status,FID Status,Owner / Developer,Client / Public Authority,Main Contractor / EPC / EPCM,Key Contractors / Suppliers,Contract / Procurement Model,Commercial Opportunity,Opportunity Route,Confidence Level,Data Completeness,Review Required,Latest Update Date,Last Reviewed,Source URL,Source Notes
CFP-0011,Yonge North Subway Extension,yonge-north-subway-extension,"Infrastructure Ontario issues RFQ for Stations, Rail & Systems Contract on Yonge North Subway Extension",https://constructionfront.com/2025-10-21-infrastructure-ontario-issues-rfq-for-stations-rail-systems-contract-on-yonge-north-subway-extension/,News,2025-10-21,Include in v0 map,Yes,North America,Canada,Ontario,Toronto / York Region,43.84,-79.43,Transport,Rail / Metro,,,,Tendering / Procurement,Active Opportunity,Tendering / Procurement,Unknown,,Infrastructure Ontario,,,Unknown,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include civil works, structures, systems, rail/road packages, utilities, design, project controls and commercial support.","Owner / developer, public authority and prequalified tender teams",Title-derived - requires article review,0.82,Yes,2025-10-21,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0012,UK Biogas Plant,uk-biogas-plant,Copenhagen Infrastructure Partners Acquires First UK Biogas Plant as Entry to British Bio-Energy Market,https://constructionfront.com/2025-11-04-copenhagen-infrastructure-partners-acquires-first-uk-biogas-plant-as-entry-to-british-bio-energy-market/,News,2025-11-04,Include in v0 map,Yes,Europe,United Kingdom,,,54,-2.5,Energy,Biogas,,,,Early Development,Early Watch,Unknown,Unknown,Copenhagen Infrastructure Partners,,,,Unknown,"Monitor approvals, financing/FID and procurement signals; suitable for early relationship-building with owner/developer. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Owner / developer / public authority,Title-derived - requires article review,0.82,Yes,2025-11-04,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0013,VNI West Transmission Project,vni-west-transmission-project,Iberdrola Named Development Partner for Major VNI West Transmission Project in Australia,https://constructionfront.com/2025-11-16-iberdrola-named-development-partner-for-major-vni-west-transmission-project-in-australia/,News,2025-11-16,Include after location review,Needs review,Australia & NZ,Australia,,Australia,-25.2744,133.7751,Energy,Transmission / Grid,,,,Early Development,Early Watch,Unknown,Unknown,Iberdrola,,Iberdrola,,Unknown,"Monitor approvals, financing/FID and procurement signals; suitable for early relationship-building with owner/developer. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Owner / developer / public authority,Title-derived - requires article review,0.88,Yes,2025-11-16,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0014,Vincent Thomas Bridge Deck Replacement,vincent-thomas-bridge-deck-replacement,Skanska JV Secures USD 534M Vincent Thomas Bridge Deck Replacement Contract,https://constructionfront.com/2026-04-08-skanska-jv-wins-534m-caltrans-contract-for-vincent-thomas-bridge-deck-replacement-in-los-angeles/,News,2026-04-08,Include in v0 map,Yes,North America,United States,California,Los Angeles,33.75,-118.27,Transport,Road / Bridge,,USD534 M,USD,Contract Awarded,Contractor Route,Awarded,Likely reached or not applicable,,,Skanska JV,,Unknown,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include civil works, structures, systems, rail/road packages, utilities, design, project controls and commercial support.","Appointed main contractor, EPC/EPCM contractor or alliance team",Title-derived - requires article review,0.88,Yes,2026-04-08,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0015,new Brisbane Stadium,new-brisbane-stadium,GIICA Shortlists Two Bidders for the new Brisbane Stadium Under ECI Contract Model,https://constructionfront.com/2026-04-10-giica-shortlists-two-bidders-for-brisbane-stadium-under-eci-contract-model/,News,2026-04-10,Include in v0 map,Yes,Australia & NZ,Australia,Queensland,Brisbane,-27.4698,153.0251,Social Infrastructure,Stadium,,,,Tendering / Procurement,Active Opportunity,Tendering / Procurement,Unknown,,GIICA,,,ECI,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant supplier categories should be reviewed against the article and source package.","Owner / developer, public authority and prequalified tender teams",Title-derived - requires article review,0.82,Yes,2026-04-10,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0016,Moving I-4 Forward Project 2,moving-i-4-forward-project-2,Lane Wins $582 Million Contract for Florida’s Moving I-4 Forward Project 2,https://constructionfront.com/2026-04-10-lane-wins-582-million-contract-for-floridas-moving-i-4-forward-project-2/,News,2026-04-10,Include in v0 map,Yes,North America,United States,Florida,I-4 corridor,28.04,-81.95,Transport,Road / Bridge,,$582 Million,USD,Contract Awarded,Contractor Route,Awarded,Likely reached or not applicable,,,Lane,,Unknown,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include civil works, structures, systems, rail/road packages, utilities, design, project controls and commercial support.","Appointed main contractor, EPC/EPCM contractor or alliance team",Title-derived - requires article review,0.88,Yes,2026-04-10,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0017,Nuclear Project in Texas,nuclear-project-in-texas,Fluor secures FEL contract for Nuclear Project in Texas with X‑Energy,https://constructionfront.com/2026-04-12-fluor-secures-fel-contract-for-nuclear-project-in-texas-with-xenergy/,News,2026-04-12,Include in v0 map,Yes,North America,United States,Texas,,31,-99,Energy,Nuclear,,,,Contract Awarded,Contractor Route,Awarded,Likely reached or not applicable,X-Energy,,Fluor,,Unknown,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.","Appointed main contractor, EPC/EPCM contractor or alliance team",Title-derived - requires article review,0.88,Yes,2026-04-12,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0018,Texas critical data center campus,texas-critical-data-center-campus,New Era secures $290 million Macquarie facility for Texas critical data center campus,https://constructionfront.com/2026-04-14-new-era-secures-290-million-macquarie-facility-for-texas-critical-data-center-campus/,News,2026-04-14,Include in v0 map,Yes,North America,United States,Texas,,31,-99,Digital Infrastructure,Data Centre,,$290 million,USD,Contract Awarded,Contractor Route,Awarded,Likely reached or not applicable,New Era,,,Macquarie,Unknown,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include power, cooling, civil works, grid interconnection, design, project controls and commissioning.","Appointed main contractor, EPC/EPCM contractor or alliance team",Title-derived - requires article review,0.88,Yes,2026-04-14,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0019,Prague Metro Line D,prague-metro-line-d,HOCHTIEF consortium secures next construction phase of Prague Metro Line D,https://constructionfront.com/2026-04-16-hochtief-consortium-secures-next-construction-phase-of-prague-metro-line-d/,News,2026-04-16,Include in v0 map,Yes,Europe,Czech Republic,Prague,Prague,50.0755,14.4378,Transport,Rail / Metro,,,,Contract Awarded,Contractor Route,Awarded,Likely reached or not applicable,,,HOCHTIEF consortium,,Unknown,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include civil works, structures, systems, rail/road packages, utilities, design, project controls and commercial support.","Appointed main contractor, EPC/EPCM contractor or alliance team",Title-derived - requires article review,0.82,Yes,2026-04-16,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0020,Vernou-la-Celle-sur-Seine BESS,vernou-la-celle-sur-seine-bess,Neoen launches France’s largest battery project in Vernou-la-Celle-sur-Seine as grid-scale storage grows in Europe,https://constructionfront.com/2026-04-19-neoen-launches-frances-largest-battery-project-in-vernou-la-celle-sur-seine-as-grid-scale-storage-grows-in-europe/,News,2026-04-19,Include in v0 map,Yes,Europe,France,Île-de-France,Vernou-la-Celle-sur-Seine,48.389,2.848,Energy,BESS,,,,Unknown,Low Visibility,Unknown,Unknown,Neoen,,,,Unknown,"Insufficient public information; review full article before BD action. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Review required,Title-derived - requires article review,0.82,Yes,2026-04-19,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0021,Commonwealth LNG,commonwealth-lng,Technip Energies receives substantial authorization to advance Commonwealth LNG ahead of FID,https://constructionfront.com/2026-04-20-technip-energies-receives-substantial-authorization-to-advance-commonwealth-lng-ahead-of-fid/,News,2026-04-20,Include in v0 map,Yes,North America,United States,Louisiana,Cameron Parish,29.8,-93.3,Energy,Gas / LNG,,,,FID Pending,Active Opportunity,Unknown,Pending / not confirmed,Caturus / Commonwealth LNG,,Technip Energies,,Project finance / delivery procurement,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.","Owner / developer, public authority and prequalified tender teams",Title-derived - requires article review,0.88,Yes,2026-04-20,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0022,Patache BESS project,patache-bess-project,"CIP commences construction on 1,500 MWh Patache BESS project in Chile",https://constructionfront.com/cip-commences-construction-on-1500-mwh-patache-bess-project-in-chile/,News,,Extended coverage / optional,Yes,Latin America,Chile,,,-30,-71,Energy,BESS,"1,500MWh",,,Under Construction,Late Stage,Partly Awarded / Under Delivery,Likely reached or not applicable,Copenhagen Infrastructure Partners,,,,Unknown,"Major packages likely committed; opportunity may sit in subcontracting, change management, commissioning, claims support or O&M preparation. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.","Delivery contractor, subcontractors, commissioning and O&M teams",Title-derived - requires article review,0.88,Yes,,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0023,NESE Project,nese-project,Williams kicks off construction on NESE Project in the U.S. Northeast,https://constructionfront.com/2026-04-21-williams-breaks-ground-on-nese-project-to-expand-transco-capacity-in-the-u-s-northeast/,News,2026-04-21,Include after location review,Needs review,North America,United States,,United States,39.8283,-98.5795,Other,Other,,,,Under Construction,Late Stage,Partly Awarded / Under Delivery,Likely reached or not applicable,Williams,,,,Unknown,"Major packages likely committed; opportunity may sit in subcontracting, change management, commissioning, claims support or O&M preparation. Relevant supplier categories should be reviewed against the article and source package.","Delivery contractor, subcontractors, commissioning and O&M teams",Title-derived - requires article review,0.82,Yes,2026-04-21,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0024,Alligator Creek and Murch solar projects,alligator-creek-and-murch-solar-projects,Heelstone reaches financial close and starts construction on Alligator Creek and Murch solar projects in the U.S.,https://constructionfront.com/2026-04-22-heelstone-reaches-financial-close-and-starts-construction-on-alligator-creek-and-murch-solar-projects-in-the-u-s/,News,2026-04-22,Include after location review,Needs review,North America,United States,,United States,39.8283,-98.5795,Energy,Solar,,,,Under Construction,Late Stage,Partly Awarded / Under Delivery,Reached / Closed,Heelstone Renewable Energy,,,,Project finance / delivery procurement,"Major packages likely committed; opportunity may sit in subcontracting, change management, commissioning, claims support or O&M preparation. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.","Delivery contractor, subcontractors, commissioning and O&M teams",Title-derived - requires article review,0.82,Yes,2026-04-22,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0025,Red Oak data centres,red-oak-data-centres,DataBank secures $2 billion financing for Red Oak data centres in Dallas,https://constructionfront.com/2026-04-23-databank-secures-2-billion-financing-for-red-oak-data-centres-in-dallas/,News,2026-04-23,Include in v0 map,Yes,North America,United States,Texas,Dallas / Red Oak,32.57,-96.86,Digital Infrastructure,Data Centre,,$2 billion,USD,Contract Awarded,Contractor Route,Awarded,Likely reached or not applicable,DataBank,,,,Unknown,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include power, cooling, civil works, grid interconnection, design, project controls and commissioning.","Appointed main contractor, EPC/EPCM contractor or alliance team",Title-derived - requires article review,0.88,Yes,2026-04-23,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0026,Koolunga BESS,koolunga-bess,GenusPlus awarded EPC contract for Koolunga BESS in South Australia,https://constructionfront.com/2026-04-24-genusplus-awarded-epc-contract-for-koolunga-bess-in-south-australia/,News,2026-04-24,Include after location review,Needs review,Australia & NZ,Australia,,Australia,-25.2744,133.7751,Energy,BESS,,,,Contract Awarded,Contractor Route,Awarded,Likely reached or not applicable,,,GenusPlus,,EPC,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.","Appointed main contractor, EPC/EPCM contractor or alliance team",Title-derived - requires article review,0.82,Yes,2026-04-24,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0027,Kwinana Gas Power Generation 2 Project,kwinana-gas-power-generation-2-project,Clough Awarded €116 Million D&C Contract for AGL’s Kwinana Gas Power Generation 2 Project in Western Australia,https://constructionfront.com/clough-awarded-e116-million-design-and-construct-contract-for-agls-kwinana-gas-power-generation-2-project-in-western-australia/,News,,Include after location review,Needs review,Australia & NZ,Australia,,Australia,-25.2744,133.7751,Energy,Gas Power,,€116 Million,EUR,Contract Awarded,Contractor Route,Awarded,Likely reached or not applicable,AGL,,Clough,,D&C,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.","Appointed main contractor, EPC/EPCM contractor or alliance team",Title-derived - requires article review,0.94,Yes,,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0028,Mirny Wind and BESS Project,mirny-wind-and-bess-project,TotalEnergies Takes FID for 1 GW Mirny Wind and BESS Project in Kazakhstan,https://constructionfront.com/2026-04-27-totalenergies-takes-fid-for-1-gw-mirny-wind-and-bess-project-in-kazakhstan/,News,2026-04-27,Extended coverage / optional,Yes,Other,Kazakhstan,,Mirny area,47,68,Energy,BESS,1GW,,,FID Reached,Active Opportunity,Partly Awarded / Under Delivery,Reached / Closed,TotalEnergies,,,,Project finance / delivery procurement,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.","Owner / developer, public authority and prequalified tender teams",Title-derived - requires article review,0.88,Yes,2026-04-27,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0029,Warsaw-Lodz Line,warsaw-lodz-line,Six Consortia shortlisted for Poland’s First High-Speed Rail (Warsaw-Lodz Line),https://constructionfront.com/2026-04-28-six-consortia-shortlisted-for-polands-first-high-speed-rail-warsaw-lodz-line/,News,2026-04-28,Include in v0 map,Yes,Europe,Poland,Mazowieckie / Łódzkie,Warsaw-Lodz corridor,52,20,Transport,Rail / Metro,,,,Tendering / Procurement,Active Opportunity,Tendering / Procurement,Unknown,,,,,Unknown,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include civil works, structures, systems, rail/road packages, utilities, design, project controls and commercial support.","Owner / developer, public authority and prequalified tender teams",Title-derived - requires article review,0.76,Yes,2026-04-28,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0030,Natrium Kemmerer Unit 1 Nuclear Power Plant,natrium-kemmerer-unit-1-nuclear-power-plant,Bechtel and TerraPower Begin Construction on Natrium Kemmerer Unit 1 Nuclear Power Plant in Wyoming,https://constructionfront.com/2026-04-29-bechtel-and-terrapower-begin-construction-on-natrium-kemmerer-unit-1-in-wyoming/,News,2026-04-29,Include in v0 map,Yes,North America,United States,Wyoming,Kemmerer,41.792,-110.537,Energy,Nuclear,,,,Under Construction,Late Stage,Partly Awarded / Under Delivery,Likely reached or not applicable,TerraPower,,Bechtel,,Unknown,"Major packages likely committed; opportunity may sit in subcontracting, change management, commissioning, claims support or O&M preparation. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.","Delivery contractor, subcontractors, commissioning and O&M teams",Title-derived - requires article review,0.88,Yes,2026-04-29,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0031,PPP sanitation concession for 153 municipalities,ppp-sanitation-concession-for-153-municipalities,"ACCIONA and BRK sign PPP sanitation concession for 153 municipalities in Pernambuco, Brazil",https://constructionfront.com/2026-01-05-acciona-and-brk-sign-ppp-sanitation-concession-for-153-municipalities-in-pernambuco-brazil/,News,2026-01-05,Extended coverage / optional,Needs review,Latin America,Brazil,Pernambuco,,-8.05,-34.9,Water,Water / Wastewater,,,,Unknown,Low Visibility,Unknown,Unknown,ACCIONA and BRK,,,,PPP / Concession,"Insufficient public information; review full article before BD action. Relevant categories may include process, civil, mechanical/electrical works, commissioning, O&M and PPP/concession advisory.",Review required,Title-derived - requires article review,0.82,Yes,2026-01-05,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0032,Banha and Nubaria Gas power plants,banha-and-nubaria-gas-power-plants,GE Vernova secures order to modernize Banha and Nubaria Gas power plants in Egypt,https://constructionfront.com/2026-05-03-ge-vernova-secures-order-to-modernize-banha-and-nubaria-gas-power-plants-in-egypt/,News,2026-05-03,Extended coverage / optional,Yes,Middle East & Africa,Egypt,,Banha / Nubaria,30.7,30.9,Energy,Gas Power,,,,Contract Awarded,Contractor Route,Awarded,Likely reached or not applicable,,,GE Vernova,,Unknown,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.","Appointed main contractor, EPC/EPCM contractor or alliance team",Title-derived - requires article review,0.82,Yes,2026-05-03,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
