changeDate,slug,cfArticleUrl,field,before,after,reason,changedBy
2026-05-21,wagerup-bess,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/,sourceNotes,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,"Approved for beta: article confirms Alinta Energy owner, GenusPlus BoP award, 100MW/200MWh capacity, Wagerup Power Station location, approx AUD 50m contract value, SEPD/Sunterra battery-system role, and SWIS context. Coordinates are approximate for Wagerup Power Station and suitable for beta map placement.",10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,wagerup-bess,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/,reviewStatus,Needs Source Check,Approved,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,wagerup-bess,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/,mapReady,false,true,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,wagerup-bess,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/,includeInV0Map,false,true,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,el-patrimonio-solar-project,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,cityArea,,Bexar County,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,el-patrimonio-solar-project,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,latitude,31,29.448,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,el-patrimonio-solar-project,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,longitude,-99,-98.520,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,el-patrimonio-solar-project,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,ownerDeveloper,CPS Energy and Ashtrom,Ashtrom Renewable Energy,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,el-patrimonio-solar-project,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,clientAuthority,,CPS Energy,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,el-patrimonio-solar-project,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,mainContractor,,SOLV Energy,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,el-patrimonio-solar-project,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,keyContractors,,CPS Energy; SOLV Energy,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,el-patrimonio-solar-project,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,contractType,Unknown,20-year Power Purchase Agreement; construction/O&M partner role,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,el-patrimonio-solar-project,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,procurementStatus,Partly Awarded / Under Delivery,Groundbreaking completed; SOLV Energy identified as project partner,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,el-patrimonio-solar-project,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,fidStatus,Likely reached or not applicable,Unknown,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,el-patrimonio-solar-project,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,constructionStart,,2025,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,el-patrimonio-solar-project,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,completionTarget,,2027 operational target,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,el-patrimonio-solar-project,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,commercialOpportunity,"Major packages likely committed; opportunity may sit in subcontracting, change management, commissioning, claims support or O&M preparation. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.","Construction is underway; opportunity is late-stage around subcontracting, commissioning, grid interface, O&M and owner-side support rather than primary award pursuit.",10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,el-patrimonio-solar-project,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,confidenceLevel,Needs Review,Confirmed,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,el-patrimonio-solar-project,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,sourceUrl,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/; Sources cited by article: CPS Energy; Ashtrom Renewable Energy,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,el-patrimonio-solar-project,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,sourceNotes,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,"Approved for beta: article confirms 150MWac solar project in Bexar County, Ashtrom developer, CPS Energy 20-year PPA for about 70% of output, SOLV Energy construction-through-operations role, construction start in 2025 and expected operation in 2027. Coordinates are Bexar County-level for beta map placement.",10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,el-patrimonio-solar-project,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,reviewStatus,Needs Source Check,Approved,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,big-horn-i-wind-project-upgrade,https://constructionfront.com/2026-05-21-avangrid-and-puget-sound-energy-sign-ppa-for-199-5mw-big-horn-i-wind-project-upgrade-in-washington/,cityArea,Big Horn wind area,Klickitat County / Columbia River Gorge,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,big-horn-i-wind-project-upgrade,https://constructionfront.com/2026-05-21-avangrid-and-puget-sound-energy-sign-ppa-for-199-5mw-big-horn-i-wind-project-upgrade-in-washington/,latitude,45.8,45.80,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,big-horn-i-wind-project-upgrade,https://constructionfront.com/2026-05-21-avangrid-and-puget-sound-energy-sign-ppa-for-199-5mw-big-horn-i-wind-project-upgrade-in-washington/,longitude,-120.5,-120.55,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,big-horn-i-wind-project-upgrade,https://constructionfront.com/2026-05-21-avangrid-and-puget-sound-energy-sign-ppa-for-199-5mw-big-horn-i-wind-project-upgrade-in-washington/,projectStage,FID Pending,Planning / Approvals,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,big-horn-i-wind-project-upgrade,https://constructionfront.com/2026-05-21-avangrid-and-puget-sound-energy-sign-ppa-for-199-5mw-big-horn-i-wind-project-upgrade-in-washington/,bdTiming,Active Opportunity,O&M Opportunity,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,big-horn-i-wind-project-upgrade,https://constructionfront.com/2026-05-21-avangrid-and-puget-sound-energy-sign-ppa-for-199-5mw-big-horn-i-wind-project-upgrade-in-washington/,clientAuthority,,Puget Sound Energy,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,big-horn-i-wind-project-upgrade,https://constructionfront.com/2026-05-21-avangrid-and-puget-sound-energy-sign-ppa-for-199-5mw-big-horn-i-wind-project-upgrade-in-washington/,contractType,PPA / offtake,Long-term Power Purchase Agreement supporting wind project upgrade,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,big-horn-i-wind-project-upgrade,https://constructionfront.com/2026-05-21-avangrid-and-puget-sound-energy-sign-ppa-for-199-5mw-big-horn-i-wind-project-upgrade-in-washington/,procurementStatus,Power Purchase Agreement signed,PPA signed; upgrade contractor and detailed scope not disclosed,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,big-horn-i-wind-project-upgrade,https://constructionfront.com/2026-05-21-avangrid-and-puget-sound-energy-sign-ppa-for-199-5mw-big-horn-i-wind-project-upgrade-in-washington/,fidStatus,Pending / not confirmed,Unknown,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,big-horn-i-wind-project-upgrade,https://constructionfront.com/2026-05-21-avangrid-and-puget-sound-energy-sign-ppa-for-199-5mw-big-horn-i-wind-project-upgrade-in-washington/,completionTarget,,2028 commercial operation target for upgraded facility,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,big-horn-i-wind-project-upgrade,https://constructionfront.com/2026-05-21-avangrid-and-puget-sound-energy-sign-ppa-for-199-5mw-big-horn-i-wind-project-upgrade-in-washington/,commercialOpportunity,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.","Monitor for OEM, component replacement, electrical works, outage planning, logistics and commissioning packages; article does not disclose contractor awards.",10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,big-horn-i-wind-project-upgrade,https://constructionfront.com/2026-05-21-avangrid-and-puget-sound-energy-sign-ppa-for-199-5mw-big-horn-i-wind-project-upgrade-in-washington/,confidenceLevel,Needs Review,Likely,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,big-horn-i-wind-project-upgrade,https://constructionfront.com/2026-05-21-avangrid-and-puget-sound-energy-sign-ppa-for-199-5mw-big-horn-i-wind-project-upgrade-in-washington/,sourceUrl,https://constructionfront.com/2026-05-21-avangrid-and-puget-sound-energy-sign-ppa-for-199-5mw-big-horn-i-wind-project-upgrade-in-washington/,https://constructionfront.com/2026-05-21-avangrid-and-puget-sound-energy-sign-ppa-for-199-5mw-big-horn-i-wind-project-upgrade-in-washington/; Sources cited by article: Avangrid; Washington Utilities and Transportation Commission,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,big-horn-i-wind-project-upgrade,https://constructionfront.com/2026-05-21-avangrid-and-puget-sound-energy-sign-ppa-for-199-5mw-big-horn-i-wind-project-upgrade-in-washington/,sourceNotes,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,"Not approved yet: article confirms Avangrid/PSE PPA, 199.5MW Big Horn I location in Klickitat County and 2028 upgraded commercial operation target, but does not disclose upgrade contractors, price, PPA term or detailed repowering scope. Coordinates are approximate county/project-area placement.",10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,big-horn-i-wind-project-upgrade,https://constructionfront.com/2026-05-21-avangrid-and-puget-sound-energy-sign-ppa-for-199-5mw-big-horn-i-wind-project-upgrade-in-washington/,reviewStatus,Needs Source Check,Needs Contractor Verification,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,big-horn-i-wind-project-upgrade,https://constructionfront.com/2026-05-21-avangrid-and-puget-sound-energy-sign-ppa-for-199-5mw-big-horn-i-wind-project-upgrade-in-washington/,mapReady,false,true,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,german-grid-expansion,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,latitude,51.1657,,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,german-grid-expansion,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,longitude,10.4515,,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,german-grid-expansion,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,projectValue,,3.2 billion,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,german-grid-expansion,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,currency,,EUR,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,german-grid-expansion,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,ownerDeveloper,RWE and Apollo Global Management,RWE; Apollo Global Management; Amprion,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,german-grid-expansion,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,clientAuthority,,Amprion,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,german-grid-expansion,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,mainContractor,,Unknown,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,german-grid-expansion,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,keyContractors,,RWE; Apollo Global Management,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,german-grid-expansion,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,contractType,Unknown,Joint venture / infrastructure equity financing,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,german-grid-expansion,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,procurementStatus,Unknown,JV agreed; transaction expected to close Q4 2025 subject to approvals,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,german-grid-expansion,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,completionTarget,,Q4 2025 expected transaction close,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,german-grid-expansion,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,commercialOpportunity,"Monitor approvals, financing/FID and procurement signals; suitable for early relationship-building with owner/developer. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Strategic finance signal for Amprion grid expansion; not a discrete construction package. Monitor Amprion grid development roadmap and future procurement packages.,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,german-grid-expansion,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,confidenceLevel,Needs Review,Likely,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,german-grid-expansion,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,sourceUrl,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/; Source cited by article: rwe.com,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,german-grid-expansion,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,sourceNotes,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,"Not approved for beta project map: article confirms RWE/Apollo JV and EUR 3.2bn upfront contribution tied to RWE shareholding in Amprion, but the record represents a broad grid expansion financing programme rather than a specific mappable project package.",10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,german-grid-expansion,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,mapReady,true,false,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,german-grid-expansion,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,includeInV0Map,true,false,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,hamilton-lrt,https://constructionfront.com/2026-05-04-aecon-led-alliance-selected-for-hamilton-lrt-civil-and-utilities-works-in-ontario/,cityArea,,"Hamilton, McMaster University to Eastgate Square corridor",10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,hamilton-lrt,https://constructionfront.com/2026-05-04-aecon-led-alliance-selected-for-hamilton-lrt-civil-and-utilities-works-in-ontario/,latitude,50,43.2557,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,hamilton-lrt,https://constructionfront.com/2026-05-04-aecon-led-alliance-selected-for-hamilton-lrt-civil-and-utilities-works-in-ontario/,longitude,-85,-79.8711,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,hamilton-lrt,https://constructionfront.com/2026-05-04-aecon-led-alliance-selected-for-hamilton-lrt-civil-and-utilities-works-in-ontario/,projectStage,Tendering / Procurement,FEED / Design Development,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,hamilton-lrt,https://constructionfront.com/2026-05-04-aecon-led-alliance-selected-for-hamilton-lrt-civil-and-utilities-works-in-ontario/,ownerDeveloper,,Metrolinx,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,hamilton-lrt,https://constructionfront.com/2026-05-04-aecon-led-alliance-selected-for-hamilton-lrt-civil-and-utilities-works-in-ontario/,clientAuthority,,Metrolinx,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,hamilton-lrt,https://constructionfront.com/2026-05-04-aecon-led-alliance-selected-for-hamilton-lrt-civil-and-utilities-works-in-ontario/,mainContractor,Aecon-led alliance,Hamilton LRT Civil & Utilities Alliance / Aecon,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,hamilton-lrt,https://constructionfront.com/2026-05-04-aecon-led-alliance-selected-for-hamilton-lrt-civil-and-utilities-works-in-ontario/,keyContractors,,Aecon; Hatch-Egis-SYSTRA JV,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,hamilton-lrt,https://constructionfront.com/2026-05-04-aecon-led-alliance-selected-for-hamilton-lrt-civil-and-utilities-works-in-ontario/,contractType,Alliance,Alliance development phase / pre-construction services agreement,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,hamilton-lrt,https://constructionfront.com/2026-05-04-aecon-led-alliance-selected-for-hamilton-lrt-civil-and-utilities-works-in-ontario/,procurementStatus,Awarded,Development partner selected for civil and utilities works,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,hamilton-lrt,https://constructionfront.com/2026-05-04-aecon-led-alliance-selected-for-hamilton-lrt-civil-and-utilities-works-in-ontario/,completionTarget,,18-24 month development phase before construction implementation phase,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,hamilton-lrt,https://constructionfront.com/2026-05-04-aecon-led-alliance-selected-for-hamilton-lrt-civil-and-utilities-works-in-ontario/,commercialOpportunity,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include civil works, structures, systems, rail/road packages, utilities, design, project controls and commercial support.","Active pre-construction window: scope, cost, schedule, utility interfaces and constructability are being refined before implementation.",10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,hamilton-lrt,https://constructionfront.com/2026-05-04-aecon-led-alliance-selected-for-hamilton-lrt-civil-and-utilities-works-in-ontario/,confidenceLevel,Needs Review,Confirmed,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,hamilton-lrt,https://constructionfront.com/2026-05-04-aecon-led-alliance-selected-for-hamilton-lrt-civil-and-utilities-works-in-ontario/,sourceUrl,https://constructionfront.com/2026-05-04-aecon-led-alliance-selected-for-hamilton-lrt-civil-and-utilities-works-in-ontario/,https://constructionfront.com/2026-05-04-aecon-led-alliance-selected-for-hamilton-lrt-civil-and-utilities-works-in-ontario/; Sources cited by article: Aecon; Metrolinx,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
