projectName,slug,articleTitle,cfArticleUrl,region,country,stateProvince,cityArea,latitude,longitude,sector,subsector,projectStage,bdTiming,projectValue,currency,ownerDeveloper,clientAuthority,mainContractor,keyContractors,contractType,procurementStatus,fidStatus,constructionStart,completionTarget,commercialOpportunity,confidenceLevel,latestUpdateDate,lastReviewed,sourceUrl,sourceNotes,reviewStatus,mapReady,includeInV0Map
Yonge North Subway Extension,yonge-north-subway-extension,"Infrastructure Ontario issues RFQ for Stations, Rail & Systems Contract on Yonge North Subway Extension",https://constructionfront.com/2025-10-21-infrastructure-ontario-issues-rfq-for-stations-rail-systems-contract-on-yonge-north-subway-extension/,North America,Canada,Ontario,Toronto / York Region,43.84,-79.43,Transport,Rail / Metro,Tendering / Procurement,Active Opportunity,,,,Infrastructure Ontario,,,Unknown,Tendering / Procurement,Unknown,,,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include civil works, structures, systems, rail/road packages, utilities, design, project controls and commercial support.",Needs Review,2025-10-21,2026-05-21,https://constructionfront.com/2025-10-21-infrastructure-ontario-issues-rfq-for-stations-rail-systems-contract-on-yonge-north-subway-extension/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
UK Biogas Plant,uk-biogas-plant,Copenhagen Infrastructure Partners Acquires First UK Biogas Plant as Entry to British Bio-Energy Market,https://constructionfront.com/2025-11-04-copenhagen-infrastructure-partners-acquires-first-uk-biogas-plant-as-entry-to-british-bio-energy-market/,Europe,United Kingdom,,,54,-2.5,Energy,Biogas,Early Development,Early Watch,,,Copenhagen Infrastructure Partners,,,,Unknown,Unknown,Unknown,,,"Monitor approvals, financing/FID and procurement signals; suitable for early relationship-building with owner/developer. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Needs Review,2025-11-04,2026-05-21,https://constructionfront.com/2025-11-04-copenhagen-infrastructure-partners-acquires-first-uk-biogas-plant-as-entry-to-british-bio-energy-market/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
VNI West Transmission Project,vni-west-transmission-project,Iberdrola Named Development Partner for Major VNI West Transmission Project in Australia,https://constructionfront.com/2025-11-16-iberdrola-named-development-partner-for-major-vni-west-transmission-project-in-australia/,Australia & NZ,Australia,,Australia,-25.2744,133.7751,Energy,Transmission / Grid,Early Development,Early Watch,,,Iberdrola,,Iberdrola,,Unknown,Unknown,Unknown,,,"Monitor approvals, financing/FID and procurement signals; suitable for early relationship-building with owner/developer. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Needs Review,2025-11-16,2026-05-21,https://constructionfront.com/2025-11-16-iberdrola-named-development-partner-for-major-vni-west-transmission-project-in-australia/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,false,false
Vincent Thomas Bridge Deck Replacement,vincent-thomas-bridge-deck-replacement,Skanska JV Secures USD 534M Vincent Thomas Bridge Deck Replacement Contract,https://constructionfront.com/2026-04-08-skanska-jv-wins-534m-caltrans-contract-for-vincent-thomas-bridge-deck-replacement-in-los-angeles/,North America,United States,California,Los Angeles,33.75,-118.27,Transport,Road / Bridge,Contract Awarded,Contractor Route,USD534 M,USD,,,Skanska JV,,Unknown,Awarded,Likely reached or not applicable,,,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include civil works, structures, systems, rail/road packages, utilities, design, project controls and commercial support.",Needs Review,2026-04-08,2026-05-21,https://constructionfront.com/2026-04-08-skanska-jv-wins-534m-caltrans-contract-for-vincent-thomas-bridge-deck-replacement-in-los-angeles/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
new Brisbane Stadium,new-brisbane-stadium,GIICA Shortlists Two Bidders for the new Brisbane Stadium Under ECI Contract Model,https://constructionfront.com/2026-04-10-giica-shortlists-two-bidders-for-brisbane-stadium-under-eci-contract-model/,Australia & NZ,Australia,Queensland,Brisbane,-27.4698,153.0251,Social Infrastructure,Stadium,Tendering / Procurement,Active Opportunity,,,,GIICA,,,ECI,Tendering / Procurement,Unknown,,,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant supplier categories should be reviewed against the article and source package.",Needs Review,2026-04-10,2026-05-21,https://constructionfront.com/2026-04-10-giica-shortlists-two-bidders-for-brisbane-stadium-under-eci-contract-model/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
Moving I-4 Forward Project 2,moving-i-4-forward-project-2,Lane Wins $582 Million Contract for Florida’s Moving I-4 Forward Project 2,https://constructionfront.com/2026-04-10-lane-wins-582-million-contract-for-floridas-moving-i-4-forward-project-2/,North America,United States,Florida,I-4 corridor,28.04,-81.95,Transport,Road / Bridge,Contract Awarded,Contractor Route,$582 Million,USD,,,Lane,,Unknown,Awarded,Likely reached or not applicable,,,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include civil works, structures, systems, rail/road packages, utilities, design, project controls and commercial support.",Needs Review,2026-04-10,2026-05-21,https://constructionfront.com/2026-04-10-lane-wins-582-million-contract-for-floridas-moving-i-4-forward-project-2/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
Nuclear Project in Texas,nuclear-project-in-texas,Fluor secures FEL contract for Nuclear Project in Texas with X‑Energy,https://constructionfront.com/2026-04-12-fluor-secures-fel-contract-for-nuclear-project-in-texas-with-xenergy/,North America,United States,Texas,,31,-99,Energy,Nuclear,Contract Awarded,Contractor Route,,,X-Energy,,Fluor,,Unknown,Awarded,Likely reached or not applicable,,,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Needs Review,2026-04-12,2026-05-21,https://constructionfront.com/2026-04-12-fluor-secures-fel-contract-for-nuclear-project-in-texas-with-xenergy/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
Texas critical data center campus,texas-critical-data-center-campus,New Era secures $290 million Macquarie facility for Texas critical data center campus,https://constructionfront.com/2026-04-14-new-era-secures-290-million-macquarie-facility-for-texas-critical-data-center-campus/,North America,United States,Texas,,31,-99,Digital Infrastructure,Data Centre,Contract Awarded,Contractor Route,$290 million,USD,New Era,,,Macquarie,Unknown,Awarded,Likely reached or not applicable,,,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include power, cooling, civil works, grid interconnection, design, project controls and commissioning.",Needs Review,2026-04-14,2026-05-21,https://constructionfront.com/2026-04-14-new-era-secures-290-million-macquarie-facility-for-texas-critical-data-center-campus/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
Prague Metro Line D,prague-metro-line-d,HOCHTIEF consortium secures next construction phase of Prague Metro Line D,https://constructionfront.com/2026-04-16-hochtief-consortium-secures-next-construction-phase-of-prague-metro-line-d/,Europe,Czech Republic,Prague,Prague,50.0755,14.4378,Transport,Rail / Metro,Contract Awarded,Contractor Route,,,,,HOCHTIEF consortium,,Unknown,Awarded,Likely reached or not applicable,,,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include civil works, structures, systems, rail/road packages, utilities, design, project controls and commercial support.",Needs Review,2026-04-16,2026-05-21,https://constructionfront.com/2026-04-16-hochtief-consortium-secures-next-construction-phase-of-prague-metro-line-d/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
Vernou-la-Celle-sur-Seine BESS,vernou-la-celle-sur-seine-bess,Neoen launches France’s largest battery project in Vernou-la-Celle-sur-Seine as grid-scale storage grows in Europe,https://constructionfront.com/2026-04-19-neoen-launches-frances-largest-battery-project-in-vernou-la-celle-sur-seine-as-grid-scale-storage-grows-in-europe/,Europe,France,Île-de-France,Vernou-la-Celle-sur-Seine,48.389,2.848,Energy,BESS,Unknown,Low Visibility,,,Neoen,,,,Unknown,Unknown,Unknown,,,"Insufficient public information; review full article before BD action. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Needs Review,2026-04-19,2026-05-21,https://constructionfront.com/2026-04-19-neoen-launches-frances-largest-battery-project-in-vernou-la-celle-sur-seine-as-grid-scale-storage-grows-in-europe/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
Commonwealth LNG,commonwealth-lng,Technip Energies receives substantial authorization to advance Commonwealth LNG ahead of FID,https://constructionfront.com/2026-04-20-technip-energies-receives-substantial-authorization-to-advance-commonwealth-lng-ahead-of-fid/,North America,United States,Louisiana,Cameron Parish,29.8,-93.3,Energy,Gas / LNG,FID Pending,Active Opportunity,,,Caturus / Commonwealth LNG,,Technip Energies,,Project finance / delivery procurement,Unknown,Pending / not confirmed,,,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Needs Review,2026-04-20,2026-05-21,https://constructionfront.com/2026-04-20-technip-energies-receives-substantial-authorization-to-advance-commonwealth-lng-ahead-of-fid/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
Patache BESS project,patache-bess-project,"CIP commences construction on 1,500 MWh Patache BESS project in Chile",https://constructionfront.com/cip-commences-construction-on-1500-mwh-patache-bess-project-in-chile/,Other,Chile,,,-30,-71,Energy,BESS,Under Construction,Late Stage,,,Copenhagen Infrastructure Partners,,,,Unknown,Partly Awarded / Under Delivery,Likely reached or not applicable,,,"Major packages likely committed; opportunity may sit in subcontracting, change management, commissioning, claims support or O&M preparation. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Needs Review,,2026-05-21,https://constructionfront.com/cip-commences-construction-on-1500-mwh-patache-bess-project-in-chile/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,false
NESE Project,nese-project,Williams kicks off construction on NESE Project in the U.S. Northeast,https://constructionfront.com/2026-04-21-williams-breaks-ground-on-nese-project-to-expand-transco-capacity-in-the-u-s-northeast/,North America,United States,,United States,39.8283,-98.5795,Other,Other,Under Construction,Late Stage,,,Williams,,,,Unknown,Partly Awarded / Under Delivery,Likely reached or not applicable,,,"Major packages likely committed; opportunity may sit in subcontracting, change management, commissioning, claims support or O&M preparation. Relevant supplier categories should be reviewed against the article and source package.",Needs Review,2026-04-21,2026-05-21,https://constructionfront.com/2026-04-21-williams-breaks-ground-on-nese-project-to-expand-transco-capacity-in-the-u-s-northeast/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,false,false
Alligator Creek and Murch solar projects,alligator-creek-and-murch-solar-projects,Heelstone reaches financial close and starts construction on Alligator Creek and Murch solar projects in the U.S.,https://constructionfront.com/2026-04-22-heelstone-reaches-financial-close-and-starts-construction-on-alligator-creek-and-murch-solar-projects-in-the-u-s/,North America,United States,,United States,39.8283,-98.5795,Energy,Solar,Under Construction,Late Stage,,,Heelstone Renewable Energy,,,,Project finance / delivery procurement,Partly Awarded / Under Delivery,Reached / Closed,,,"Major packages likely committed; opportunity may sit in subcontracting, change management, commissioning, claims support or O&M preparation. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Needs Review,2026-04-22,2026-05-21,https://constructionfront.com/2026-04-22-heelstone-reaches-financial-close-and-starts-construction-on-alligator-creek-and-murch-solar-projects-in-the-u-s/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,false,false
Red Oak data centres,red-oak-data-centres,DataBank secures $2 billion financing for Red Oak data centres in Dallas,https://constructionfront.com/2026-04-23-databank-secures-2-billion-financing-for-red-oak-data-centres-in-dallas/,North America,United States,Texas,Dallas / Red Oak,32.57,-96.86,Digital Infrastructure,Data Centre,Contract Awarded,Contractor Route,$2 billion,USD,DataBank,,,,Unknown,Awarded,Likely reached or not applicable,,,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include power, cooling, civil works, grid interconnection, design, project controls and commissioning.",Needs Review,2026-04-23,2026-05-21,https://constructionfront.com/2026-04-23-databank-secures-2-billion-financing-for-red-oak-data-centres-in-dallas/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
Koolunga BESS,koolunga-bess,GenusPlus awarded EPC contract for Koolunga BESS in South Australia,https://constructionfront.com/2026-04-24-genusplus-awarded-epc-contract-for-koolunga-bess-in-south-australia/,Australia & NZ,Australia,,Australia,-25.2744,133.7751,Energy,BESS,Contract Awarded,Contractor Route,,,,,GenusPlus,,EPC,Awarded,Likely reached or not applicable,,,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Needs Review,2026-04-24,2026-05-21,https://constructionfront.com/2026-04-24-genusplus-awarded-epc-contract-for-koolunga-bess-in-south-australia/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,false,false
Kwinana Gas Power Generation 2 Project,kwinana-gas-power-generation-2-project,Clough Awarded €116 Million D&C Contract for AGL’s Kwinana Gas Power Generation 2 Project in Western Australia,https://constructionfront.com/clough-awarded-e116-million-design-and-construct-contract-for-agls-kwinana-gas-power-generation-2-project-in-western-australia/,Australia & NZ,Australia,,Australia,-25.2744,133.7751,Energy,Gas Power,Contract Awarded,Contractor Route,€116 Million,EUR,AGL,,Clough,,D&C,Awarded,Likely reached or not applicable,,,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Needs Review,,2026-05-21,https://constructionfront.com/clough-awarded-e116-million-design-and-construct-contract-for-agls-kwinana-gas-power-generation-2-project-in-western-australia/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,false,false
Mirny Wind and BESS Project,mirny-wind-and-bess-project,TotalEnergies Takes FID for 1 GW Mirny Wind and BESS Project in Kazakhstan,https://constructionfront.com/2026-04-27-totalenergies-takes-fid-for-1-gw-mirny-wind-and-bess-project-in-kazakhstan/,Other,Kazakhstan,,Mirny area,47,68,Energy,BESS,FID Reached,Active Opportunity,,,TotalEnergies,,,,Project finance / delivery procurement,Partly Awarded / Under Delivery,Reached / Closed,,,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Needs Review,2026-04-27,2026-05-21,https://constructionfront.com/2026-04-27-totalenergies-takes-fid-for-1-gw-mirny-wind-and-bess-project-in-kazakhstan/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,false
Warsaw-Lodz Line,warsaw-lodz-line,Six Consortia shortlisted for Poland’s First High-Speed Rail (Warsaw-Lodz Line),https://constructionfront.com/2026-04-28-six-consortia-shortlisted-for-polands-first-high-speed-rail-warsaw-lodz-line/,Europe,Poland,Mazowieckie / Łódzkie,Warsaw-Lodz corridor,52,20,Transport,Rail / Metro,Tendering / Procurement,Active Opportunity,,,,,,,Unknown,Tendering / Procurement,Unknown,,,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include civil works, structures, systems, rail/road packages, utilities, design, project controls and commercial support.",Needs Review,2026-04-28,2026-05-21,https://constructionfront.com/2026-04-28-six-consortia-shortlisted-for-polands-first-high-speed-rail-warsaw-lodz-line/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
Natrium Kemmerer Unit 1 Nuclear Power Plant,natrium-kemmerer-unit-1-nuclear-power-plant,Bechtel and TerraPower Begin Construction on Natrium Kemmerer Unit 1 Nuclear Power Plant in Wyoming,https://constructionfront.com/2026-04-29-bechtel-and-terrapower-begin-construction-on-natrium-kemmerer-unit-1-in-wyoming/,North America,United States,Wyoming,Kemmerer,41.792,-110.537,Energy,Nuclear,Under Construction,Late Stage,,,TerraPower,,Bechtel,,Unknown,Partly Awarded / Under Delivery,Likely reached or not applicable,,,"Major packages likely committed; opportunity may sit in subcontracting, change management, commissioning, claims support or O&M preparation. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Needs Review,2026-04-29,2026-05-21,https://constructionfront.com/2026-04-29-bechtel-and-terrapower-begin-construction-on-natrium-kemmerer-unit-1-in-wyoming/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
PPP sanitation concession for 153 municipalities,ppp-sanitation-concession-for-153-municipalities,"ACCIONA and BRK sign PPP sanitation concession for 153 municipalities in Pernambuco, Brazil",https://constructionfront.com/2026-01-05-acciona-and-brk-sign-ppp-sanitation-concession-for-153-municipalities-in-pernambuco-brazil/,Other,Brazil,Pernambuco,,-8.05,-34.9,Water,Water / Wastewater,Unknown,Low Visibility,,,ACCIONA and BRK,,,,PPP / Concession,Unknown,Unknown,,,"Insufficient public information; review full article before BD action. Relevant categories may include process, civil, mechanical/electrical works, commissioning, O&M and PPP/concession advisory.",Needs Review,2026-01-05,2026-05-21,https://constructionfront.com/2026-01-05-acciona-and-brk-sign-ppp-sanitation-concession-for-153-municipalities-in-pernambuco-brazil/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,false,false
