changeDate,recordId,slug,field,before,after,reason,changedBy
2026-05-21,CFP-0005,wagerup-bess,potentialOpportunities,,"Insufficient public information; review full article before BD action. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Copied commercialOpportunity into preferred v0.1 field.,normalize-project-records.ts
2026-05-21,CFP-0005,wagerup-bess,opportunityCategories,,Electrical Works; Grid Connection; O&M,"Added controlled v0.1 opportunity categories from sector, stage and title-derived project type.",normalize-project-records.ts
2026-05-21,CFP-0006,hyundai-e-c-to-deliver-k-housing-in-new-zealand-via-early-contractor-involveme,preConstructionApproach,,ECI,Added v0.1 pre-construction approach field.,normalize-project-records.ts
2026-05-21,CFP-0006,hyundai-e-c-to-deliver-k-housing-in-new-zealand-via-early-contractor-involveme,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0006,hyundai-e-c-to-deliver-k-housing-in-new-zealand-via-early-contractor-involveme,mapReady,Yes,true,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0006,hyundai-e-c-to-deliver-k-housing-in-new-zealand-via-early-contractor-involveme,potentialOpportunities,,Insufficient public information; review full article before BD action. Relevant supplier categories should be reviewed against the article and source package.,Copied commercialOpportunity into preferred v0.1 field.,normalize-project-records.ts
2026-05-21,CFP-0006,hyundai-e-c-to-deliver-k-housing-in-new-zealand-via-early-contractor-involveme,opportunityCategories,,Design / Engineering; Project Controls; Commercial Management,"Added controlled v0.1 opportunity categories from sector, stage and title-derived project type.",normalize-project-records.ts
2026-05-21,CFP-0007,omvs-140-mw-green-hydrogen-plant,preConstructionApproach,,Not Applicable,Added v0.1 pre-construction approach field.,normalize-project-records.ts
2026-05-21,CFP-0007,omvs-140-mw-green-hydrogen-plant,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0007,omvs-140-mw-green-hydrogen-plant,mapReady,Yes,true,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0007,omvs-140-mw-green-hydrogen-plant,potentialOpportunities,,"Major packages likely committed; opportunity may sit in subcontracting, change management, commissioning, claims support or O&M preparation. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Copied commercialOpportunity into preferred v0.1 field.,normalize-project-records.ts
2026-05-21,CFP-0007,omvs-140-mw-green-hydrogen-plant,opportunityCategories,,Electrical Works; Grid Connection; O&M; Claims / Dispute Support; Legal / Contract Advisory; Commercial Management; Design / Engineering; Project Controls,"Added controlled v0.1 opportunity categories from sector, stage and title-derived project type.",normalize-project-records.ts
2026-05-21,CFP-0008,richmond-valley-solar-bess-project,preConstructionApproach,,ECI,Added v0.1 pre-construction approach field.,normalize-project-records.ts
2026-05-21,CFP-0008,richmond-valley-solar-bess-project,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0008,richmond-valley-solar-bess-project,mapReady,Yes,true,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0008,richmond-valley-solar-bess-project,potentialOpportunities,,"Insufficient public information; review full article before BD action. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Copied commercialOpportunity into preferred v0.1 field.,normalize-project-records.ts
2026-05-21,CFP-0008,richmond-valley-solar-bess-project,opportunityCategories,,Electrical Works; Grid Connection; O&M; Design / Engineering; Project Controls; Commercial Management,"Added controlled v0.1 opportunity categories from sector, stage and title-derived project type.",normalize-project-records.ts
2026-05-21,CFP-0009,montreal-port-expansion-in-water-works,preConstructionApproach,,Unknown,Added v0.1 pre-construction approach field.,normalize-project-records.ts
2026-05-21,CFP-0009,montreal-port-expansion-in-water-works,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0009,montreal-port-expansion-in-water-works,mapReady,Yes,true,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0009,montreal-port-expansion-in-water-works,potentialOpportunities,,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include civil works, structures, systems, rail/road packages, utilities, design, project controls and commercial support.",Copied commercialOpportunity into preferred v0.1 field.,normalize-project-records.ts
2026-05-21,CFP-0009,montreal-port-expansion-in-water-works,opportunityCategories,,Electrical Works; Grid Connection; O&M; Civil Works; Rail Systems; Utilities Relocation; Structures; Design / Engineering; Roadworks; Earthworks; Water / Wastewater; Mechanical Works; Financing / Investment; Project Controls; Commercial Management,"Added controlled v0.1 opportunity categories from sector, stage and title-derived project type.",normalize-project-records.ts
2026-05-21,CFP-0010,shah-deniz-compression-project,preConstructionApproach,,Not Applicable,Added v0.1 pre-construction approach field.,normalize-project-records.ts
2026-05-21,CFP-0010,shah-deniz-compression-project,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0010,shah-deniz-compression-project,mapReady,Yes,true,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0010,shah-deniz-compression-project,potentialOpportunities,,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant supplier categories should be reviewed against the article and source package.",Copied commercialOpportunity into preferred v0.1 field.,normalize-project-records.ts
2026-05-21,CFP-0010,shah-deniz-compression-project,opportunityCategories,,Design / Engineering; Project Controls; Commercial Management,"Added controlled v0.1 opportunity categories from sector, stage and title-derived project type.",normalize-project-records.ts
2026-05-21,CFP-0011,yonge-north-subway-extension,preConstructionApproach,,Unknown,Added v0.1 pre-construction approach field.,normalize-project-records.ts
2026-05-21,CFP-0011,yonge-north-subway-extension,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0011,yonge-north-subway-extension,mapReady,Yes,true,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0011,yonge-north-subway-extension,potentialOpportunities,,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include civil works, structures, systems, rail/road packages, utilities, design, project controls and commercial support.",Copied commercialOpportunity into preferred v0.1 field.,normalize-project-records.ts
2026-05-21,CFP-0011,yonge-north-subway-extension,opportunityCategories,,Electrical Works; Grid Connection; O&M; Civil Works; Rail Systems; Utilities Relocation; Structures; Design / Engineering; Roadworks; Earthworks; Financing / Investment; Project Controls; Commercial Management,"Added controlled v0.1 opportunity categories from sector, stage and title-derived project type.",normalize-project-records.ts
2026-05-21,CFP-0012,uk-biogas-plant,preConstructionApproach,,Development,Added v0.1 pre-construction approach field.,normalize-project-records.ts
2026-05-21,CFP-0012,uk-biogas-plant,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0012,uk-biogas-plant,mapReady,Yes,true,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0012,uk-biogas-plant,potentialOpportunities,,"Monitor approvals, financing/FID and procurement signals; suitable for early relationship-building with owner/developer. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Copied commercialOpportunity into preferred v0.1 field.,normalize-project-records.ts
2026-05-21,CFP-0012,uk-biogas-plant,opportunityCategories,,Electrical Works; Grid Connection; O&M; Financing / Investment; Design / Engineering; Project Controls; Commercial Management,"Added controlled v0.1 opportunity categories from sector, stage and title-derived project type.",normalize-project-records.ts
2026-05-21,CFP-0013,vni-west-transmission-project,preConstructionApproach,,Development,Added v0.1 pre-construction approach field.,normalize-project-records.ts
2026-05-21,CFP-0013,vni-west-transmission-project,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0013,vni-west-transmission-project,mapReady,Needs review,false,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0013,vni-west-transmission-project,potentialOpportunities,,"Monitor approvals, financing/FID and procurement signals; suitable for early relationship-building with owner/developer. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Copied commercialOpportunity into preferred v0.1 field.,normalize-project-records.ts
2026-05-21,CFP-0013,vni-west-transmission-project,opportunityCategories,,Electrical Works; Grid Connection; Transmission; O&M; Financing / Investment; Design / Engineering; Project Controls; Commercial Management,"Added controlled v0.1 opportunity categories from sector, stage and title-derived project type.",normalize-project-records.ts
2026-05-21,CFP-0014,vincent-thomas-bridge-deck-replacement,preConstructionApproach,,Not Applicable,Added v0.1 pre-construction approach field.,normalize-project-records.ts
2026-05-21,CFP-0014,vincent-thomas-bridge-deck-replacement,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0014,vincent-thomas-bridge-deck-replacement,mapReady,Yes,true,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0014,vincent-thomas-bridge-deck-replacement,potentialOpportunities,,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include civil works, structures, systems, rail/road packages, utilities, design, project controls and commercial support.",Copied commercialOpportunity into preferred v0.1 field.,normalize-project-records.ts
2026-05-21,CFP-0014,vincent-thomas-bridge-deck-replacement,opportunityCategories,,Civil Works; Rail Systems; Utilities Relocation; Structures; Design / Engineering; Roadworks; Earthworks; Project Controls; Commercial Management,"Added controlled v0.1 opportunity categories from sector, stage and title-derived project type.",normalize-project-records.ts
2026-05-21,CFP-0015,new-brisbane-stadium,preConstructionApproach,,ECI,Added v0.1 pre-construction approach field.,normalize-project-records.ts
2026-05-21,CFP-0015,new-brisbane-stadium,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0015,new-brisbane-stadium,mapReady,Yes,true,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0015,new-brisbane-stadium,potentialOpportunities,,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant supplier categories should be reviewed against the article and source package.",Copied commercialOpportunity into preferred v0.1 field.,normalize-project-records.ts
2026-05-21,CFP-0015,new-brisbane-stadium,opportunityCategories,,Electrical Works; Grid Connection; O&M; Financing / Investment; Design / Engineering; Project Controls; Commercial Management,"Added controlled v0.1 opportunity categories from sector, stage and title-derived project type.",normalize-project-records.ts
2026-05-21,CFP-0016,moving-i-4-forward-project-2,preConstructionApproach,,Not Applicable,Added v0.1 pre-construction approach field.,normalize-project-records.ts
2026-05-21,CFP-0016,moving-i-4-forward-project-2,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0016,moving-i-4-forward-project-2,mapReady,Yes,true,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0016,moving-i-4-forward-project-2,potentialOpportunities,,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include civil works, structures, systems, rail/road packages, utilities, design, project controls and commercial support.",Copied commercialOpportunity into preferred v0.1 field.,normalize-project-records.ts
2026-05-21,CFP-0016,moving-i-4-forward-project-2,opportunityCategories,,Civil Works; Rail Systems; Utilities Relocation; Structures; Design / Engineering; Roadworks; Earthworks; Project Controls; Commercial Management,"Added controlled v0.1 opportunity categories from sector, stage and title-derived project type.",normalize-project-records.ts
2026-05-21,CFP-0017,nuclear-project-in-texas,preConstructionApproach,,FEL,Added v0.1 pre-construction approach field.,normalize-project-records.ts
2026-05-21,CFP-0017,nuclear-project-in-texas,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0017,nuclear-project-in-texas,mapReady,Yes,true,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0017,nuclear-project-in-texas,potentialOpportunities,,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Copied commercialOpportunity into preferred v0.1 field.,normalize-project-records.ts
2026-05-21,CFP-0017,nuclear-project-in-texas,opportunityCategories,,Electrical Works; Grid Connection; O&M; Design / Engineering; Project Controls; Commercial Management,"Added controlled v0.1 opportunity categories from sector, stage and title-derived project type.",normalize-project-records.ts
2026-05-21,CFP-0018,texas-critical-data-center-campus,preConstructionApproach,,Not Applicable,Added v0.1 pre-construction approach field.,normalize-project-records.ts
2026-05-21,CFP-0018,texas-critical-data-center-campus,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0018,texas-critical-data-center-campus,mapReady,Yes,true,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0018,texas-critical-data-center-campus,potentialOpportunities,,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include power, cooling, civil works, grid interconnection, design, project controls and commissioning.",Copied commercialOpportunity into preferred v0.1 field.,normalize-project-records.ts
2026-05-21,CFP-0018,texas-critical-data-center-campus,opportunityCategories,,Electrical Works; Grid Connection; O&M; Mechanical Works; Technology / Software; Design / Engineering; Project Controls; Commercial Management,"Added controlled v0.1 opportunity categories from sector, stage and title-derived project type.",normalize-project-records.ts
2026-05-21,CFP-0019,prague-metro-line-d,preConstructionApproach,,Not Applicable,Added v0.1 pre-construction approach field.,normalize-project-records.ts
2026-05-21,CFP-0019,prague-metro-line-d,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0019,prague-metro-line-d,mapReady,Yes,true,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0019,prague-metro-line-d,potentialOpportunities,,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include civil works, structures, systems, rail/road packages, utilities, design, project controls and commercial support.",Copied commercialOpportunity into preferred v0.1 field.,normalize-project-records.ts
2026-05-21,CFP-0019,prague-metro-line-d,opportunityCategories,,Civil Works; Rail Systems; Utilities Relocation; Structures; Design / Engineering; Roadworks; Earthworks; Project Controls; Commercial Management,"Added controlled v0.1 opportunity categories from sector, stage and title-derived project type.",normalize-project-records.ts
2026-05-21,CFP-0020,vernou-la-celle-sur-seine-bess,preConstructionApproach,,Unknown,Added v0.1 pre-construction approach field.,normalize-project-records.ts
2026-05-21,CFP-0020,vernou-la-celle-sur-seine-bess,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0020,vernou-la-celle-sur-seine-bess,mapReady,Yes,true,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0020,vernou-la-celle-sur-seine-bess,potentialOpportunities,,"Insufficient public information; review full article before BD action. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Copied commercialOpportunity into preferred v0.1 field.,normalize-project-records.ts
2026-05-21,CFP-0020,vernou-la-celle-sur-seine-bess,opportunityCategories,,Electrical Works; Grid Connection; O&M,"Added controlled v0.1 opportunity categories from sector, stage and title-derived project type.",normalize-project-records.ts
2026-05-21,CFP-0021,commonwealth-lng,preConstructionApproach,,Unknown,Added v0.1 pre-construction approach field.,normalize-project-records.ts
2026-05-21,CFP-0021,commonwealth-lng,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0021,commonwealth-lng,mapReady,Yes,true,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0021,commonwealth-lng,potentialOpportunities,,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Copied commercialOpportunity into preferred v0.1 field.,normalize-project-records.ts
2026-05-21,CFP-0021,commonwealth-lng,opportunityCategories,,Electrical Works; Grid Connection; O&M; Financing / Investment; Design / Engineering; Project Controls; Commercial Management,"Added controlled v0.1 opportunity categories from sector, stage and title-derived project type.",normalize-project-records.ts
2026-05-21,CFP-0022,patache-bess-project,region,Latin America,Other,Mapped non-core region into approved taxonomy.,normalize-project-records.ts
2026-05-21,CFP-0022,patache-bess-project,preConstructionApproach,,Not Applicable,Added v0.1 pre-construction approach field.,normalize-project-records.ts
2026-05-21,CFP-0022,patache-bess-project,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0022,patache-bess-project,mapReady,Yes,true,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0022,patache-bess-project,potentialOpportunities,,"Major packages likely committed; opportunity may sit in subcontracting, change management, commissioning, claims support or O&M preparation. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Copied commercialOpportunity into preferred v0.1 field.,normalize-project-records.ts
2026-05-21,CFP-0022,patache-bess-project,opportunityCategories,,Electrical Works; Grid Connection; O&M; Claims / Dispute Support; Legal / Contract Advisory; Commercial Management; Design / Engineering; Project Controls,"Added controlled v0.1 opportunity categories from sector, stage and title-derived project type.",normalize-project-records.ts
2026-05-21,CFP-0023,nese-project,preConstructionApproach,,Not Applicable,Added v0.1 pre-construction approach field.,normalize-project-records.ts
2026-05-21,CFP-0023,nese-project,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0023,nese-project,mapReady,Needs review,false,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0023,nese-project,potentialOpportunities,,"Major packages likely committed; opportunity may sit in subcontracting, change management, commissioning, claims support or O&M preparation. Relevant supplier categories should be reviewed against the article and source package.",Copied commercialOpportunity into preferred v0.1 field.,normalize-project-records.ts
2026-05-21,CFP-0023,nese-project,opportunityCategories,,Claims / Dispute Support; Legal / Contract Advisory; Commercial Management; Design / Engineering; Project Controls,"Added controlled v0.1 opportunity categories from sector, stage and title-derived project type.",normalize-project-records.ts
2026-05-21,CFP-0024,alligator-creek-and-murch-solar-projects,preConstructionApproach,,Not Applicable,Added v0.1 pre-construction approach field.,normalize-project-records.ts
2026-05-21,CFP-0024,alligator-creek-and-murch-solar-projects,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0024,alligator-creek-and-murch-solar-projects,mapReady,Needs review,false,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0024,alligator-creek-and-murch-solar-projects,potentialOpportunities,,"Major packages likely committed; opportunity may sit in subcontracting, change management, commissioning, claims support or O&M preparation. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Copied commercialOpportunity into preferred v0.1 field.,normalize-project-records.ts
2026-05-21,CFP-0024,alligator-creek-and-murch-solar-projects,opportunityCategories,,Electrical Works; Grid Connection; O&M; Financing / Investment; Claims / Dispute Support; Legal / Contract Advisory; Commercial Management; Design / Engineering; Project Controls,"Added controlled v0.1 opportunity categories from sector, stage and title-derived project type.",normalize-project-records.ts
2026-05-21,CFP-0025,red-oak-data-centres,preConstructionApproach,,Not Applicable,Added v0.1 pre-construction approach field.,normalize-project-records.ts
2026-05-21,CFP-0025,red-oak-data-centres,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0025,red-oak-data-centres,mapReady,Yes,true,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0025,red-oak-data-centres,potentialOpportunities,,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include power, cooling, civil works, grid interconnection, design, project controls and commissioning.",Copied commercialOpportunity into preferred v0.1 field.,normalize-project-records.ts
2026-05-21,CFP-0025,red-oak-data-centres,opportunityCategories,,Electrical Works; Grid Connection; O&M; Mechanical Works; Technology / Software; Design / Engineering; Financing / Investment; Project Controls; Commercial Management,"Added controlled v0.1 opportunity categories from sector, stage and title-derived project type.",normalize-project-records.ts
2026-05-21,CFP-0026,koolunga-bess,preConstructionApproach,,Not Applicable,Added v0.1 pre-construction approach field.,normalize-project-records.ts
2026-05-21,CFP-0026,koolunga-bess,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0026,koolunga-bess,mapReady,Needs review,false,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0026,koolunga-bess,potentialOpportunities,,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Copied commercialOpportunity into preferred v0.1 field.,normalize-project-records.ts
2026-05-21,CFP-0026,koolunga-bess,opportunityCategories,,Electrical Works; Grid Connection; O&M; Design / Engineering; Project Controls; Commercial Management,"Added controlled v0.1 opportunity categories from sector, stage and title-derived project type.",normalize-project-records.ts
2026-05-21,CFP-0027,kwinana-gas-power-generation-2-project,preConstructionApproach,,Not Applicable,Added v0.1 pre-construction approach field.,normalize-project-records.ts
2026-05-21,CFP-0027,kwinana-gas-power-generation-2-project,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0027,kwinana-gas-power-generation-2-project,mapReady,Needs review,false,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0027,kwinana-gas-power-generation-2-project,potentialOpportunities,,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Copied commercialOpportunity into preferred v0.1 field.,normalize-project-records.ts
2026-05-21,CFP-0027,kwinana-gas-power-generation-2-project,opportunityCategories,,Electrical Works; Grid Connection; O&M; Design / Engineering; Project Controls; Commercial Management,"Added controlled v0.1 opportunity categories from sector, stage and title-derived project type.",normalize-project-records.ts
2026-05-21,CFP-0028,mirny-wind-and-bess-project,preConstructionApproach,,Unknown,Added v0.1 pre-construction approach field.,normalize-project-records.ts
